,document,topic,distr
79,1998\35_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
80,1998\36_main_body.txt,0,"[9.97136801e-01 2.35242284e-04 2.74249304e-04 2.41204702e-04
 2.35968007e-04 2.65276004e-04 3.21943359e-04 2.70134590e-04
 2.70002895e-04 2.70701038e-04 2.49245678e-04 2.29228752e-04]"
81,1998\37_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
82,1998\38_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
83,1998\39_main_body.txt,0,"[9.99999996e-001 3.29229145e-171 3.91225185e-171 3.33981962e-171
 3.25836996e-171 3.69841715e-171 4.67188394e-171 3.77930353e-171
 3.76137412e-171 3.84442714e-171 3.49203456e-171 1.75769227e-172]"
84,1998\40_main_body.txt,0,"[9.99985980e-01 1.17725122e-06 1.36408510e-06 1.23865746e-06
 1.19863355e-06 1.33516960e-06 1.55800658e-06 1.42065501e-06
 1.39791841e-06 1.34549393e-06 1.27715894e-06 7.03721906e-07]"
85,1998\41_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
86,1998\42_main_body.txt,-1,"[7.30272356e-29 7.87261833e-02 1.70681217e-21 6.74388525e-02
 8.08689258e-02 1.91289538e-01 1.67270987e-25 7.32615792e-02
 1.00833880e-01 2.06416977e-21 5.13387339e-21 7.41588742e-30]"
87,1998\43_main_body.txt,0,"[9.95357259e-01 3.84447973e-04 4.54791073e-04 4.00039011e-04
 3.91893737e-04 4.61979412e-04 5.05794649e-04 4.76813131e-04
 4.83873282e-04 4.57477199e-04 4.17861525e-04 2.07765797e-04]"
88,1998\44_main_body.txt,0,"[9.14768340e-01 4.24218708e-06 4.95004937e-06 4.25515244e-06
 4.27157294e-06 5.04355066e-06 5.69353486e-06 4.66610745e-06
 4.95691940e-06 4.99091821e-06 4.33163837e-06 4.73045024e-08]"
89,1998\45_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
90,1998\46_main_body.txt,-1,"[0.08449307 0.04521867 0.05099375 0.04682038 0.04677467 0.05762998
 0.04838904 0.0500899  0.05836989 0.05250291 0.04703072 0.05844841]"
91,1998\47_main_body.txt,0,"[9.99999996e-01 1.16819046e-10 1.35915710e-10 1.20846276e-10
 1.17199839e-10 1.30438621e-10 1.58263100e-10 1.36534113e-10
 1.34763435e-10 1.33533410e-10 1.24962181e-10 1.10795686e-10]"
92,1998\48_main_body.txt,-1,"[8.52428753e-02 5.66691792e-02 8.97283153e-02 5.64600877e-02
 5.27971261e-02 6.22890570e-02 1.03868150e-01 6.25958574e-02
 6.43568604e-02 7.79984377e-02 6.11215260e-02 1.42318371e-06]"
93,1998\4_main_body.txt,0,"[9.99999996e-01 2.37511085e-72 2.85867171e-72 2.39191241e-72
 2.35507471e-72 2.74792240e-72 3.38627838e-72 2.71963072e-72
 2.76421153e-72 2.83924530e-72 2.50778654e-72 8.64256721e-74]"
94,1998\50_main_body.txt,-1,"[1.21657704e-01 5.51928131e-02 6.74314364e-02 5.93086907e-02
 5.65922013e-02 7.00040599e-02 6.56416941e-02 6.93070501e-02
 7.83060450e-02 6.80980324e-02 6.11465915e-02 1.91134898e-06]"
95,1998\51_main_body.txt,0,"[9.30008763e-01 2.16304280e-08 2.58695215e-08 2.29237997e-08
 2.19733555e-08 2.52346553e-08 2.80591821e-08 2.84765846e-08
 2.74893575e-08 2.55882735e-08 2.44645421e-08 2.35753664e-10]"
96,1998\52_main_body.txt,-1,"[1.33136111e-01 5.55206626e-02 6.97447156e-02 5.97833813e-02
 5.62915506e-02 6.71585808e-02 7.33583621e-02 6.74845853e-02
 7.30429534e-02 6.83200627e-02 6.06452403e-02 5.08896032e-09]"
97,1998\53_main_body.txt,-1,"[0.09192888 0.04170048 0.0538184  0.04391824 0.04191678 0.05109096
 0.05650178 0.05391883 0.05546308 0.05338436 0.04730885 0.06388324]"
98,1998\54_main_body.txt,0,"[9.99999996e-01 1.31735803e-23 1.56239223e-23 1.35762534e-23
 1.31521137e-23 1.47692767e-23 1.86676144e-23 1.53185602e-23
 1.51646787e-23 1.52772064e-23 1.41100203e-23 3.77604527e-24]"
99,1998\55_main_body.txt,0,"[8.99724766e-01 1.11540715e-04 1.28618882e-04 1.07949262e-04
 1.10739498e-04 1.34265446e-04 1.43461590e-04 1.17962489e-04
 1.27256300e-04 1.32380143e-04 1.10679707e-04 1.32902740e-06]"
100,1998\56_main_body.txt,0,"[9.99999996e-01 3.89402105e-13 4.64042281e-13 3.94088583e-13
 3.86154305e-13 4.41830605e-13 5.58793417e-13 4.42837738e-13
 4.46140546e-13 4.57573594e-13 4.10303956e-13 1.16268715e-13]"
101,1998\57_main_body.txt,0,"[9.99999992e-01 3.35624607e-10 3.94018420e-10 3.29177381e-10
 3.30754108e-10 3.88861269e-10 4.61296929e-10 3.63200457e-10
 3.79111437e-10 3.96689123e-10 3.40444075e-10 1.11506500e-10]"
102,1998\58_main_body.txt,0,"[0.26502213 0.05202205 0.06249952 0.04989937 0.05002697 0.05948533
 0.0746859  0.05539598 0.05761904 0.06283299 0.05231885 0.00058343]"
103,1998\59_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
104,1998\5_main_body.txt,1,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
105,1998\60_main_body.txt,0,"[9.99708710e-01 2.52681769e-05 3.06157982e-05 2.44749873e-05
 2.47999653e-05 3.05687098e-05 3.36976454e-05 2.68339373e-05
 2.89944799e-05 3.12841759e-05 2.54533708e-05 9.29475897e-06]"
106,1998\61_main_body.txt,0,"[9.99999996e-01 3.64101891e-22 4.13756320e-22 3.52607525e-22
 3.64246278e-22 4.48405697e-22 4.48738005e-22 3.81665617e-22
 4.21072167e-22 4.28900393e-22 3.58059706e-22 1.32904970e-22]"
107,1998\62_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
108,1998\63_main_body.txt,0,"[9.23832245e-01 2.58549008e-07 2.97569360e-07 2.50319262e-07
 2.56988022e-07 3.11723391e-07 3.31080083e-07 2.73415005e-07
 2.95288746e-07 3.06458984e-07 2.56458783e-07 3.08383444e-09]"
109,1998\64_main_body.txt,0,"[9.99999996e-01 1.88436132e-31 2.24654464e-31 1.90595313e-31
 1.86816870e-31 2.13882021e-31 2.70685189e-31 2.14066375e-31
 2.15826847e-31 2.21545503e-31 1.98426041e-31 5.63148791e-32]"
110,1998\65_main_body.txt,0,"[9.99999996e-01 1.57363061e-73 1.84935745e-73 1.54286408e-73
 1.55102422e-73 1.82708100e-73 2.16398830e-73 1.70170657e-73
 1.77938865e-73 1.86297844e-73 1.59529540e-73 9.09596514e-75]"
111,1998\66_main_body.txt,0,"[5.09747960e-01 3.11592865e-02 3.74539667e-02 2.98918235e-02
 2.99652159e-02 3.56390253e-02 4.47575110e-02 3.31925689e-02
 3.45238115e-02 3.76518611e-02 3.13472670e-02 3.49792569e-04]"
112,1998\67_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
113,1998\68_main_body.txt,0,"[9.99999996e-01 5.47173690e-58 6.63217360e-58 5.29961072e-58
 5.36884368e-58 6.61398605e-58 7.29848898e-58 5.80894780e-58
 6.27403104e-58 6.77436803e-58 5.51275156e-58 3.35981695e-59]"
114,1998\69_main_body.txt,0,"[9.99999937e-01 5.19654020e-09 5.89459528e-09 5.03381789e-09
 5.20341494e-09 6.41166441e-09 6.38019950e-09 5.45314276e-09
 6.02080100e-09 6.11511334e-09 5.11217222e-09 1.90619072e-09]"
115,1998\6_main_body.txt,-1,"[0.09030419 0.04470862 0.05356148 0.04128946 0.04234316 0.0536019
 0.05649444 0.04649945 0.04988786 0.05640991 0.04413323 0.0832929 ]"
116,1998\7_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
117,1998\9_main_body.txt,0,"[9.99999996e-01 5.07358977e-16 5.78657206e-16 5.04097875e-16
 5.14017247e-16 6.20458232e-16 6.36267054e-16 5.54547786e-16
 6.01430380e-16 5.93327294e-16 5.13324555e-16 1.87064786e-16]"
118,1999\0_main_body.txt,-1,"[1.38580279e-23 3.57209155e-02 4.85169343e-02 3.92306937e-02
 3.55877034e-02 4.15454292e-02 4.54508378e-02 4.51336478e-02
 4.73969798e-02 4.56307437e-02 4.15126797e-02 7.87877183e-27]"
119,1999\11_main_body.txt,0,"[9.99999108e-01 7.29893694e-08 8.60277725e-08 7.46850184e-08
 7.24314810e-08 8.12704293e-08 1.01429358e-07 8.48714441e-08
 8.37255823e-08 8.42969906e-08 7.79157940e-08 6.99439458e-08]"
120,1999\12_main_body.txt,6,"[0.0282508  0.03105592 0.05364341 0.02938207 0.02756633 0.03191809
 0.18721856 0.03252826 0.03269984 0.04264453 0.03261219 0.01974367]"
121,1999\13_main_body.txt,2,"[0.00441747 0.01035213 0.62841968 0.00940465 0.00873084 0.01010328
 0.00920726 0.01037831 0.01047423 0.02593035 0.01129965 0.00289518]"
122,1999\14_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
123,1999\15_main_body.txt,0,"[9.99999992e-01 3.76201399e-10 4.41910567e-10 3.86806406e-10
 3.74616234e-10 4.19569799e-10 5.15193093e-10 4.42236973e-10
 4.34686419e-10 4.33482379e-10 4.03791796e-10 2.22815787e-10]"
124,1999\16_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
125,1999\17_main_body.txt,-1,"[8.57510265e-02 5.72677850e-02 9.03579242e-02 5.53740018e-02
 5.24462837e-02 6.29635200e-02 1.10437224e-01 6.27086245e-02
 6.42417907e-02 8.04822334e-02 6.09257167e-02 1.26117553e-08]"
126,1999\18_main_body.txt,-1,"[4.81240409e-14 3.39961729e-02 5.48248357e-02 3.39089266e-02
 3.14962389e-02 3.66187661e-02 6.89863159e-02 3.76137011e-02
 3.82351083e-02 4.63115480e-02 3.68245077e-02 2.94125422e-17]"
